ncbi_species,species
Streptococcus didelphis,Streptococcus didelphis
Yersinia aleksiciae,Yersinia aleksiciae
Mycobacterium stephanolepidis,Mycobacterium stephanolepidis
Paenimyroides viscosum,Flavobacterium viscosum
Faecivivens stercoripullorum,Faecivivens stercoripullorum
Bosea spartocytisi,Bosea spartocytisi
Calothrix rhizosoleniae,Calothrix_A rhizosoleniae
Listeria aquatica,Listeria aquatica
Polynucleobacter sphagniphilus,Polynucleobacter sphagniphilus
Prevotella denticola,Prevotella denticola
Sphingopyxis jiangsuensis,Sphingopyxis jiangsuensis
Providencia manganoxydans,Providencia manganoxydans
Pseudomonas serbica,Pseudomonas_E serbica
Aeromonas dhakensis,Aeromonas dhakensis
Methylobacillus rhizosphaerae,Methylobacillus rhizosphaerae
Pantoea septica,Pantoea septica
Porphyromonas loveana,Porphyromonas loveana
Prevotella pallens,Prevotella pallens
Adiutrix intracellularis,Adiutrix intracellularis
Borreliella burgdorferi,Borreliella burgdorferi
Xanthomonas vasicola,Xanthomonas vasicola
Pandoraea vervacti,Pandoraea vervacti
Nitratifractor salsuginis,Nitratifractor salsuginis
Adlercreutzia mucosicola,Adlercreutzia mucosicola
Lactococcus termiticola,Lactococcus termiticola
Enterobacter quasiroggenkampii,Enterobacter quasiroggenkampii
Acinetobacter seifertii,Acinetobacter seifertii
Olivibacter domesticus,Olivibacter domesticus
Deinococcus frigens,Deinococcus frigens
Dickeya dianthicola,Dickeya dianthicola
Microbacterium sediminis,Microbacterium sediminis
Aedoeadaptatus nemausensis,Aedoeadaptatus nemausensis
Aliarcobacter skirrowii,Aliarcobacter skirrowii
Aliarcobacter faecis,Aliarcobacter faecis
Sphaerisporangium corydalis,Sphaerisporangium corydalis
Helicobacter ganmani,Helicobacter_D ganmani
Caccovicinus merdipullorum,Caccovicinus merdipullorum
Hoylesella enoeca,Prevotella enoeca
Mycoplasmopsis synoviae,Mycoplasmopsis synoviae
Gloeobacter morelensis,Gloeobacter morelensis
Enterococcus aquimarinus,Enterococcus_I aquimarinus
Bacillus ectoiniformans,Bacillus_BX ectoiniformans
Corynebacterium gallistercoris,Corynebacterium gallistercoris
Melissococcus plutonius,Melissococcus plutonius
Streptomyces viridosporus,Streptomyces viridosporus
Nocardiopsis ansamitocini,Nocardiopsis_D ansamitocini
Tsukamurella strandjordii,Tsukamurella strandjordii
Thermodesulfobacterium hveragerdense,Thermodesulfobacterium hveragerdense
Polynucleobacter yangtzensis,Polynucleobacter yangtzensis
Secundilactobacillus paracollinoides,Secundilactobacillus paracollinoides
Marinobacter daepoensis,Marinobacter daepoensis
Streptomyces paradoxus,Streptomyces paradoxus
Mediterraneibacter stercoravium,Mediterraneibacter stercoravium
Colwellia echini,Colwellia echini
Sphingobacterium rhinopitheci,Sphingobacterium rhinopitheci
Enterococcus ureasiticus,Enterococcus ureasiticus
Pallidibacillus thermolactis,Pallidibacillus thermolactis
Paracidobacterium acidisoli,Paracidobacterium acidisoli
Francisella noatunensis,Francisella noatunensis
Saccharicrinis aurantiacus,Saccharicrinis aurantiacus
Mycoplasmoides gallisepticum,Mycoplasmoides gallisepticum
Tardiphaga alba,Tardiphaga alba
Paeniglutamicibacter kerguelensis,Paeniglutamicibacter kerguelensis
