ncbi_species,species
Avrilella dinanensis,Flavobacterium dinanensis
bacterium UBP18_UBA7526,UBA7526 sp002478245
Shewanella mangrovi,Shewanella mangrovi
Fluviicola chungangensis,Fluviicola chungangensis
Eggerthella timonensis,Eggerthella timonensis
Octadecabacter temperatus,Octadecabacter temperatus
Erythrobacter ani,Erythrobacter ani
Anaerovibrio slackiae,Anaerovibrio slackiae
Pseudoduganella aquatica,Pseudoduganella aquatica
Vibrio mexicanus,Vibrio mexicanus
Marinobacter maroccanus,Marinobacter maroccanus
Candidimonas humi,Candidimonas humi
Litoreibacter arenae,Litoreibacter arenae
Streptomyces rhizosphaerihabitans,Streptomyces rhizosphaerihabitans
Sulfuricystis multivorans,Sulfuricystis multivorans
Alkalimonas amylolytica,Alkalimonas amylolytica
Streptomyces lanatus,Streptomyces lanatus
Rubrobacter marinus,Rubrobacter_F marinus
Cellulomonas terrae,Cellulomonas terrae
Aristophania vespae,Aristophania vespae
Desulforamulus putei,Desulfotomaculum putei
Pinisolibacter aquiterrae,Pinisolibacter aquiterrae
Bacillus wudalianchiensis,Pseudobacillus wudalianchiensis
Secundilactobacillus folii,Secundilactobacillus folii
Falsochrobactrum shanghaiense,Brucella shanghaiense
Pedobacter ureilyticus,Pedobacter ureilyticus
Varunaivibrio sulfuroxidans,Varunaivibrio sulfuroxidans
Epilithonimonas caeni,Epilithonimonas caeni
Agromyces mariniharenae,Agromyces mariniharenae
Mucilaginibacter panaciglaebae,Mucilaginibacter panaciglaebae
Longimycelium tulufanense,Longimycelium tulufanense
Coprosoma sp.,Coprosoma sp963928595
Acetitomaculum ruminis,Acetitomaculum ruminis
Microbulbifer echini,Microbulbifer echini
Alcanivorax quisquiliarum,Isoalcanivorax quisquiliarum
Myxococcus vastator,Myxococcus vastator
Albimonas sp.,Albimonas sp029223255
Arthrobacter pullicola,Arthrobacter_B pullicola
Pseudarthrobacter albicanus,Arthrobacter albicanus
Corynebacterium yonathiae,Corynebacterium yonathiae
Gulosibacter molinativorax,Gulosibacter molinativorax
Maribacter litoralis,Maribacter litoralis
Caulobacter rhizosphaerae,Caulobacter rhizosphaerae
Duganella violaceipulchra,Duganella violaceipulchra
Mycolicibacterium lutetiense,Mycobacterium lutetiense
Cryptobacteroides intestinigallinarum,Cryptobacteroides intestinigallinarum
Nonlabens ponticola,Nonlabens ponticola
Sediminibacterium roseum,Sediminibacterium roseum
Leeuwenhoekiella parthenopeia,Leeuwenhoekiella parthenopeia
Pseudoneobacillus rhizosphaerae,Pseudoneobacillus rhizosphaerae
Pleomorphomonadaceae bacterium,DASTEQ01 sp035514415
Nitrosophilus alvini,Nitrosophilus alvini
Brumicola blandensis,Glaciecola blandensis
Leptospira fainei,Leptospira_B fainei
Brevibacillus thermoruber,Brevibacillus thermoruber
Thermosporothrix hazakensis,Thermosporothrix hazakensis
Colwellia marinimaniae,Colwellia marinimaniae
Alkalibacter saccharofermentans,Alkalibacter saccharofermentans
Paraburkholderia hayleyella,Paraburkholderia hayleyella
Marnyiella aurantia,Marnyiella aurantia
Hyphomonas johnsonii,Hyphomonas johnsonii
Brevibacterium salitolerans,Brevibacterium salitolerans
Spirosoma utsteinense,Spirosoma utsteinense
Limnobacter litoralis,Limnobacter litoralis
Phytoplasma mali,Phytoplasma mali
Actinomadura alba,Actinomadura_C alba
Pseudomonas rubra,Pseudomonas_E rubra
Neolewinella antarctica,Neolewinella antarctica
Multivorans thiocomprendens,Multivorans thiocomprendens
bacterium MnTg02,MnTg02 sp008974985
Microbacterium timonense,Microbacterium timonense
uncultured Cedecea,JGM124 sp947498825
Polynucleobacter cosmopolitanus,Polynucleobacter cosmopolitanus
Magnetospirillum moscoviense,Magnetospirillum moscoviense
Nocardioides pinisoli,Nocardioides pinisoli
Phycobacter sp.,Phycobacter sp038148855
Allokutzneria albata,Allokutzneria albata
Geothermocultor quzhuomuensis,Geothermocultor quzhuomuensis
Streptomyces nymphaeiformis,Streptomyces nymphaeiformis
Aedoeadaptatus ivorii,Aedoeadaptatus ivorii
Paramagnetospirillum magneticum,Paramagnetospirillum magneticum
Afifella aestuarii,Afifella aestuarii
Acetobacterium tundrae,Acetobacterium tundrae
Scybalocola fimicaballi,UBA1723 sp018066165
Thermosyntropha sp.,Thermosyntropha sp017656155
Pontibacter ramchanderi,Pontibacter ramchanderi
Chlamydiifrater volucris,Chlamydiifrater volucris
Fictibacillus solisalsi,Fictibacillus_C solisalsi
Mogibacterium kristiansenii,Mogibacterium_A kristiansenii
uncultured Petrimonas,Petrimonas sp934621705
uncultured Filomicrobium,Filomicrobium sp963669235
Mariniphaga anaerophila,Mariniphaga anaerophila
Alkalicaulis satelles,Oceanicaulis satelles
Corynebacterium macclintockiae,Corynebacterium macclintockiae
Ventrimonas faecis,Brotaphodocola faecis
Aquirufa ecclesiirivi,Aquirufa ecclesiirivi
Acidovorax kalamii,Acidovorax kalamii
Roseateles agri,KK5 sp034043675
Chryseobacterium fluminis,Chryseobacterium fluminis
Pelomicrobium methylotrophicum,Pelomicrobium methylotrophicum
Alkalicoccus daliensis,Alkalicoccus daliensis
Sandaracinomonas limnophila,Sandaracinomonas limnophila
Gemmobacter serpentinus,Gemmobacter serpentinus
Legionella erythra,Legionella_C erythra
Sulfurimonas hongkongensis,Sulfurimonas hongkongensis
Myxococcus guangdongensis,Myxococcus guangdongensis
Sphingobacterium cavernae,Sphingobacterium cavernae
Qingshengfaniella alkalisoli,Qingshengfaniella alkalisoli
Streptomyces capuensis,Streptomyces rimosus
Rubripirellula amarantea,Rubripirellula amarantea
Massilia solisilvae,Telluria solisilvae
Mangrovimicrobium sediminis,Halioglobus sp004745945
Acididesulfobacter diazotrophicus,Acididesulfobacter diazotrophicus
Helicobacter magdeburgensis,Helicobacter_C magdeburgensis
Methylocystis suflitae,Methylocystis suflitae
Metabacillus schmidteae,Metabacillus schmidteae
Mesobacterium pallidum,Mesobacterium pallidum
Ligilactobacillus excrementigallinarum,Ligilactobacillus excrementigallinarum
uncultured Thiomonas,Thiomonas sp937927695
Paracidovorax oryzae,Paracidovorax oryzae
Pseudomonas karstica,Pseudomonas_E karstica
Thermicanus aegyptius,Thermicanus aegyptius
Streptomyces albidus,Streptomyces albidus
Olleya marilimosa,Olleya marilimosa
Marinicella pacifica,Marinicella pacifica
Mycobacterium triplex,Mycobacterium triplex
Rhodovulum marinum,Rhodovulum marinum
Ktedonosporobacter rubrisoli,Ktedonosporobacter rubrisoli
Acetobacter oryzifermentans,Acetobacter oryzifermentans
Maribacter algicola,Maribacter algicola
Streptomyces toyocaensis,Streptomyces toyocaensis
Planktosalinus lacus,Planktosalinus lacus
Enteractinococcus coprophilus,Yaniella coprophila
Cyclobacterium jeungdonense,Cyclobacterium jeungdonense
Scytonema hyalinum,Tolypothrix_B hyalinum
Microbacterium thalli,Microbacterium thalli
Thermaurantiacus tibetensis,Thermaurantiacus tibetensis
Marixanthomonas spongiae,Marixanthomonas spongiae
Neomicrococcus aestuarii,Neomicrococcus aestuarii
Latilactobacillus sp.,Latilactobacillus sakei
Streptomyces fodineus,Streptomyces fodineus
Bifidobacterium aerophilum,Bifidobacterium aerophilum
Legionella worsleiensis,Legionella worsleiensis
Amphritea pacifica,Amphritea pacifica
Actinokineospora bangkokensis,Actinokineospora bangkokensis
Lysobacter tolerans,Solilutibacter tolerans
Emticicia fluvialis,Emticicia fluvialis
Edaphobacter dinghuensis,Edaphobacter dinghuensis
Apilactobacillus ozensis,Apilactobacillus ozensis
Pelagibacterium lentulum,Pelagibacterium lentulum
Levilactobacillus humaensis,Levilactobacillus humaensis
Halomonas ramblicola,Halomonas ramblicola
Bifidobacterium mizhiense,Bombiscardovia mizhiensis
Chitinophaga japonensis,Chitinophaga japonensis
Pelagibaculum spongiae,Pelagibaculum spongiae
Halomonas socia,Franzmannia socia
Liberibacter africanus,Liberibacter africanus
Paucilactobacillus suebicus,Paucilactobacillus suebicus
Methylibium petroleiphilum,Methylibium petroleiphilum
Scatovicinus merdipullorum,Scatavimonas merdipullorum
Streptomyces sannanensis,Streptomyces sannanensis
Helicobacter valdiviensis,Helicobacter_D valdiviensis
Flavobacterium palustre,Flavobacterium palustre
Salipiger pallidus,Salipiger pallidus
Rugamonas apoptosis,Rugamonas_A apoptosis
Immundisolibacter cernigliae,Immundisolibacter cernigliae
Rhizobium aouanii,Rhizobium aouanii
Croceicoccus ponticola,Croceicoccus ponticola
Streptomyces nogalater,Streptomyces nogalater
Macrococcus carouselicus,Macrococcus carouselicus
Actinorugispora endophytica,Actinorugispora endophytica
Saccharomonospora amisosensis,Saccharomonospora_A amisosensis
Pseudidiomarina homiensis,Pseudidiomarina homiensis
Lapidilactobacillus dextrinicus,Lapidilactobacillus dextrinicus
Corynebacterium incognita,Corynebacterium incognitum
Streptomyces laurentii,Streptomyces laurentii
Leifsonia virtsii,Leifsonia virtsii
Limnobaculum zhutongyuii,Limnobaculum zhutongyuii
Paenibacillus mellifer,Fontibacillus mellifer
Robertmurraya yapensis,Robertmurraya yapensis
Microbulbifer harenosus,Microbulbifer harenosus
Marimicrobium litorale,Marimicrobium litorale
Ornithoclostridium faecigallinarum,Ornithoclostridium faecigallinarum
Microbacterium rhizosphaerae,Microbacterium rhizosphaerae
Staphylococcus taiwanensis,Staphylococcus taiwanensis
Shewanella algidipiscicola,Shewanella algidipiscicola
Anaerosporomusa subterranea,Anaerosporomusa subterranea
Enterococcus pallens,Enterococcus_A pallens
Scatomorpha merdavium,Scatomorpha merdavium
Aminiphilus circumscriptus,Aminiphilus circumscriptus
Chlorobaculum thiosulfatiphilum,Chlorobaculum thiosulfatiphilum
Cytobacillus praedii,Cytobacillus praedii
Microcella humidisoli,Microcella humidisoli
Collimonas pratensis,Collimonas pratensis
Chelativorans composti,Chelativorans composti
Mesorhizobium neociceri,Mesorhizobium neociceri
Marinifilum flexuosum,Marinifilum flexuosum
Bacillus mediterraneensis,Bacillus_AZ mediterraneensis
Streptomyces toxytricini,Streptomyces toxytricini
Lachnoclostridium stercorigallinarum,Lachnoclostridium_A stercorigallinarum
Pedobacter mucosus,Pedobacter mucosus
Clostridium merdae,Faecalispora merdae
Borreliella japonica,Borreliella japonica
Arthrobacter roseus,Arthrobacter_J roseus
Endobacterium cereale,Neorhizobium cereale
Desulfosporosinus acididurans,Desulfosporosinus acididurans
Pseudovibrio stylochi,Pseudovibrio stylochi
Jilunia laotingensis,Bacteroides laotingensis
Actinomyces radicidentis,Actinomyces radicidentis
Roseinatronobacter monicus,Roseinatronobacter monicus
Lederbergia galactosidilytica,Lederbergia galactosidilytica
Paraburkholderia lacunae,Paraburkholderia lacunae
Streptomyces solaniscabiei,Streptomyces flaveolus
Brevibacillus ruminantium,Brevibacillus ruminantium
Nocardia stercoris,Nocardia stercoris
Ramlibacter pallidus,Ramlibacter pallidus
Pseudomonas paralactis,Pseudomonas_E paralactis
Palauibacter polyketidifaciens,Palauibacter polyketidifaciens
Kaistella beijingensis,Kaistella beijingensis
Roseibium suaedae,Roseibium suaedae
Calothrix brevissima,Aulosira brevissima
Alishewanella maricola,Alishewanella maricola
Virgibacillus halophilus,Tigheibacillus halophilus
Aliagarivorans taiwanensis,Aliagarivorans taiwanensis
Paenibacillus mucilaginosus,Paenibacillus_G mucilaginosus
Bizionia paragorgiae,Bizionia paragorgiae
Spirosoma radiotolerans,Spirosoma radiotolerans
Saccharomonospora viridis,Saccharomonospora viridis
Moraxella boevrei,Moraxella_A boevrei
Chryseobacterium carnipullorum,Chryseobacterium carnipullorum
Skermanella aerolata,Skermanella aerolata
Halomonas halocynthiae,Halomonas halocynthiae
Cellulomonas citrea,Cellulomonas citrea
Azospirillum canadense,Azospirillum canadense
Jiella sonneratiae,Jiella sonneratiae
Bacillus alveayuensis,Bacillus_CB alveayuensis
Lactobacillus leichmannii,Lactobacillus delbrueckii
Leucobacter allii,Leucobacter allii
Donghicola eburneus,Donghicola eburneus
Glaciimonas soli,Glaciimonas soli
Streptomonospora mangrovi,Streptomonospora mangrovi
Actinoplanes regularis,Actinoplanes regularis
bacterium HR11,HRBIN11 sp002898535
Ammonifex degensii,Ammonifex degensii
Mycoplasma miroungirhinis,Metamycoplasma miroungirhinis
Bartonella phoceensis,Bartonella phoceensis
Catenibacillus scindens,Catenibacillus scindens
Thermodesulfatator indicus,Thermodesulfatator indicus
Roseimaritima multifibrata,Roseimaritima multifibrata
Flavobacterium lacisediminis,Flavobacterium lacisediminis
Microbulbifer sediminum,Microbulbifer sediminum
Flavobacterium chilense,Flavobacterium chilense
Bifidobacterium canis,Bifidobacterium canis
Streptococcus zalophi,Streptococcus zalophi
Glycomyces paridis,Glycomyces paridis
uncultured Dongia,Dongia sp936916975
Bipolaricaulaceae bacterium,DTER01 sp025060415
Lysobacter soyae,Solilutibacter soyae
Nostoc carneum,Aulosira carnea
Desulfoglaeba alkanexedens,Desulfoglaeba alkanexedens
Mesorhizobium helmanticense,Mesorhizobium helmanticense
Tsuneonella dongtanensis,Tsuneonella dongtanensis
Algoriphagus ornithinivorans,Algoriphagus ornithinivorans
Mobilitalea sibirica,Mobilitalea sibirica
Autumnicola lenta,Autumnicola lenta
Helicobacter vulpis,Helicobacter_E vulpis
uncultured Thiocystis,Chromatium sp903866365
Ktedonosporobacter sp.,DASRHT01 sp035293765
Faeciplasma avium,Faeciplasma avium
Zeimonas arvi,Zeimonas arvi
Mycobacterium simulans,Mycobacterium simulans
Desulfatibacillum alkenivorans,Desulfatibacillum alkenivorans
Sphingomonas gei,Sphingomonas gei
Colinaster equi,Colinaster equi
Aadella gelida,Aadella gelida
Rectinema subterraneum,Rectinema subterraneum
Gemmobacter aquarius,Gemmobacter_B aquarius
Saccharothrix mutabilis,Actinosynnema mutabilis
Cryptobacteroides gallistercoris,Cryptobacteroides gallistercoris
Lysobacter alkalisoli,Marilutibacter alkalisoli
Corynebacterium evansiae,Corynebacterium evansiae
Litchfieldia salsa,Litchfieldia salsa
Streptomyces nitrosporeus,Streptomyces nitrosporeus
Halalkalibacter alkalisediminis,Halalkalibacter alkalisediminis
Variovorax robiniae,Variovorax robiniae
Veillonella seminalis,Veillonella_A seminalis
Pedobacter psychrotolerans,Pedobacter psychrotolerans
Pelorhabdus rhamnosifermentans,Pelorhabdus rhamnosifermentans
Flavobacterium antarcticum,Flavobacterium antarcticum
Actinokineospora fastidiosa,Actinokineospora fastidiosa
Limihaloglobus sulfuriphilus,Limihaloglobus sulfuriphilus
Agarilytica rhodophyticola,Agarilytica rhodophyticola
Capsulimonas corticalis,Capsulimonas corticalis
Citroniella saccharovorans,Citroniella saccharovorans
Anaerobacillus arseniciselenatis,Anaerobacillus arseniciselenatis
Halopseudomonas maritima,Halopseudomonas maritima
Thiomicrorhabdus xiamenensis,Thiomicrorhabdus xiamenensis
Nonomuraea maritima,Nonomuraea maritima
Kaistia algarum,Kaistia algarum
Serpentinimonas raichei,Serpentinimonas raichei
Frankia tisae,Frankia tisai
Geminocystis herdmanii,Geminocystis herdmanii
Sulfurovum riftiae,Sulfurovum riftiae
Hymenobacter lapidarius,Hymenobacter lapidarius
Fusobacterium canifelinum,Fusobacterium canifelinum
Novosphingobium kaempferiae,Novosphingobium kaempferiae
Actibacterium mucosum,Actibacterium mucosum
Sulfurihydrogenibium subterraneum,Sulfurihydrogenibium subterraneum
Methylophilus aquaticus,Methylophilus aquaticus
Tabrizicola oligotrophica,Tabrizicola_A oligotrophica
Enterovibrio calviensis,Enterovibrio calviensis
Paracoccus zhejiangensis,Paracoccus zhejiangensis
Methylomonas rhizoryzae,Methylomonas rhizoryzae
Pseudofrankia saprophytica,Pseudofrankia saprophytica
Pacificimonas sp.,Pacificimonas sp036351775
Thalassotalea algicola,Thalassotalea_F algicola
Paenibacillus arenilitoris,Pristimantibacillus arenilitoris
Legionella tunisiensis,Tatlockia tunisiensis
Flintibacter muris,Lawsonibacter muris
Parapedobacter soli,Parapedobacter soli
Trichodesmium erythraeum,Trichodesmium erythraeum
Flagellimonas profundi,Flagellimonas profundi
Paenibacillus plantarum,Paenibacillus_E plantarum
Gynuella sp.,JANQHX01 sp028282465
Chitinibacter fontanus,Chitinibacter fontanus
Massilia cavernae,Telluria cavernae
Harenicola maris,Harenicola maris
Trinickia dabaoshanensis,Trinickia dabaoshanensis
Vibrio astriarenae,Vibrio astriarenae
Thiothrix lacustris,Thiothrix lacustris
Flavobacterium terrigena,Flavobacterium terrigena
Cohnella hashimotonis,Cohnella hashimotonis
Brevibacterium rongguiense,Brevibacterium rongguiense
Ancylobacter sonchi,Ancylobacter sonchi
Thalassolituus hydrocarboniclasticus,Venatoribacter hydrocarboniclasticus
Pseudoclavibacter chungangensis,Pseudoclavibacter chungangensis
Winogradskyella flava,Winogradskyella flava
uncultured Dictyoglomus,Dictyoglomus sp938039765
Thiodubiliella endoseptemdiera,Thiodubiliella endoseptemdiera
Mumia flava,Mumia flava
Ralstonia thomasii,Ralstonia thomasii
Bacillus shivajii,Bacillus_CA shivajii
Adonisia turfae,Leptothoe turfae
Solincola tengchongensis,Solincola_A tengchongensis
Onthomonas avicola,Onthomonas avicola
Grimontia marina,Enterovibrio marinus
Tistrella bauzanensis,Tistrella bauzanensis
Enterococcus nangangensis,Enterococcus_J nangangensis
Facklamia languida,Facklamia languida
Streptomyces kurssanovii,Streptomyces kurssanovii
Actinopolyspora mzabensis,Actinopolyspora mzabensis
Novosphingobium ovatum,Novosphingobium ovatum
Rhizobium ecuadorense,Rhizobium ecuadorense
bacterium HR14,LDYB01 sp001442985
Porphyromonadaceae sp.,MVYY01 sp012517575
Mycoplasmopsis caviae,Mycoplasmopsis caviae
Hymenobacter rubripertinctus,Hymenobacter rubripertinctus
Halovulum dunhuangense,Halovulum dunhuangense
Gluconobacter potus,Gluconobacter potus
Paraconexibacter antarcticus,Paraconexibacter antarcticus
Anaerobranca gottschalkii,Anaerobranca gottschalkii
Reyranella humidisoli,Reyranella humidisoli
Arboricoccus pini,Arboricoccus pini
Catonella morbi,Catonella morbi
Flexivirga oryzae,Flexivirga oryzae
Streptomyces hiroshimensis,Streptomyces hiroshimensis
Pelistega indica,Pelistega indica
Asticcacaulis endophyticus,Asticcacaulis endophyticus
Robiginitalea marina,Robiginitalea marina
Lactobacillus juensis,Lactobacillus juensis
Magnetaquicoccus inordinatus,Magnetaquicoccus inordinatus
Simplicispira metamorpha,Simplicispira metamorpha
Sphingopyxis panaciterrae,Sphingopyxis panaciterrae
Dyella tabacisoli,Dyella_C tabacisoli
Carboxylicivirga sediminis,Carboxylicivirga sediminis
Flavobacterium degerlachei,Flavobacterium degerlachei
Desulfonatronovibrio magnus,Desulfonatronovibrio magnus
Thermithiobacillus tepidarius,Thermithiobacillus tepidarius
Sphingobacterium athyrii,Sphingobacterium athyrii
Cryobacterium frigoriphilum,Cryobacterium frigoriphilum
Psittacicella melopsittaci,Psittacicella melopsittaci
Vondammii sp.,Vondammii sp022530855
Rhizobium oryzicola,Neorhizobium oryzicola
Panacibacter microcysteis,Panacibacter microcysteis
Jezberella montanilacus,Jezberella montanilacus
Planosporangium flavigriseum,Planosporangium flavigriseum
Mycoplasmopsis opalescens,Mycoplasmopsis opalescens
Pseudomonas silensiensis,Pseudomonas_E mandelii
Tenacibaculum pelagium,Tenacibaculum pelagium
Ozemobacter sp.,DYKG01 sp030446435
Cupriavidus plantarum,Cupriavidus plantarum
Nocardia colli,Nocardia colli
Enterovibrio baiacu,Enterovibrio baiacui
Pigmentiphaga daeguensis,Pigmentiphaga daeguensis
Pseudomonas cavernae,Pseudomonas_E cavernae
Kordia aestuariivivens,Kordia aestuariivivens
Marinobacter caseinilyticus,Marinobacter caseinilyticus
Peribacillus acanthi,Bacillus_BN acanthi
Microsaccharimonas sossegonensis,Microsaccharimonas sossegonensis
Sphingomonas glaciei,Sphingomicrobium glaciei
Siminovitchia fordii,Siminovitchia fordii
Microlunatus aurantiacus,Microlunatus aurantiacus
Eubacterium album,Eubacterium_U album
Paenibacillus naphthalenovorans,Paenibacillus_G naphthalenovorans
Niabella pedocola,Niabella pedocola
Arenibacterium halophilum,Arenibacterium halophilum
Devosia pacifica,Devosia pacifica
Roseinatronobacter thiooxidans,Roseinatronobacter thiooxidans
Spiroplasma helicoides,Spiroplasma_A helicoides
Paraburkholderia xenovorans,Paraburkholderia xenovorans
Paenibacillus polygoni,Paenibacillus polygoni
Halopseudomonas salegens,Halopseudomonas salegens
Sphingomonas colombiensis,Sphingomonas colombiensis
Levilactobacillus faecigallinarum,Levilactobacillus faecigallinarum
Catenulisporales bacterium,Catenulispora sp019510485
Flectobacillus rivi,Flectobacillus rivi
Brachybacterium aquaticum,Brachybacterium aquaticum
Pseudoruminococcus sp.,Pseudoruminococcus sp902765855
Alkalilacustris brevis,Alkalilacustris brevis
Limosilactobacillus kribbianus,Limosilactobacillus kribbianus
Actinobacillus capsulatus,Actinobacillus capsulatus
Paracholeplasma manati,Paracholeplasma manati
Hathewaya massiliensis,Hathewaya massiliensis
Planctomonas psychrotolerans,Planctomonas psychrotolerans
Paraliomyxa miuraensis,Paraliomyxa miuraensis
Apopatocola equi,Apopatocola equi
Atribacter laminatus,Atribacter laminatus
Litoribacterium kuwaitense,Litoribacterium kuwaitense
Hippea jasoniae,Hippea jasoniae
Nocardioides kribbensis,Nocardioides kribbensis
Brucella oryzae,Brucella oryzae
Heteroclostridium caecigallinarum,Heteroclostridium caecigallinarum
Nocardia altamirensis,Nocardia altamirensis
Stieleria varia,Stieleria varia
Undibacterium squillarum,Undibacterium squillarum
Enterococcus alcedinis,Enterococcus_I alcedinis
Rhodococcus tukisamuensis,Rhodococcus_G tukisamuensis
Flavobacterium faecale,Flavobacterium faecale
Scardovia inopinata,Scardovia inopinata
Rickettsiella viridis,Rickettsiella_B viridis
Inconstantimicrobium porci,Inconstantimicrobium porci
bacterium OL-1,Tractidigestivibacter sp000752675
Rummeliibacillus pycnus,Rummeliibacillus pycnus
Propionicicella sp.,JBDHZK01 sp039811865
Thermaurantimonas aggregans,Thermaurantimonas aggregans
Lottiidibacillus patelloidae,Lottiidibacillus patelloidae
Bifidobacterium panos,Bifidobacterium panos
Acinetobacter seohaensis,Acinetobacter towneri
Blastococcus haudaquaticus,Blastococcus haudaquaticus
uncultured Clostridiales,QAKD01 sp003343965
Gallaecimonas mangrovi,Gallaecimonas mangrovi
Microchaete diplosiphon,Aulosira diplosiphon
Dyella kyungheensis,Dyella kyungheensis
Propionispora hippei,Propionispora hippei
Myroides gitamensis,Flavobacterium odoratum
Prosthecochloris ethylica,Prosthecochloris ethylica
uncultured Pseudosulfitobacter,Pseudosulfitobacter sp963976325
Brevirhabdus sp.,JAHEAO01 sp024637315
Luteibacter anthropi,Luteibacter anthropi
Methylorubrum podarium,Methylobacterium podarium
Pseudidiomarina woesei,Pseudidiomarina woesei
Peredibacter starrii,Peredibacter starrii
Mesorhizobium tianshanense,Mesorhizobium tianshanense
Pseudomonas excrementavium,Halopseudomonas excrementavium
Bacillus manliponensis,Bacillus_A manliponensis
Paenibacillus ottowii,Paenibacillus ottowii
Marinobacterium sedimentorum,Marinobacterium_A sedimentorum
Heritagella gallinarum,Heritagella gallinarum
Novosphingobium olei,Novosphingobium olei
Brucepastera parasyntrophica,Brucepastera parasyntrophica
Rhizobium daejeonense,Allorhizobium daejeonense
Fusibacter paucivorans,Fusibacter paucivorans
Pseudomonas khazarica,Pseudomonas_E khazarica
Anaeromyxobacter oryzisoli,Anaeromyxobacter oryzisoli
Alteromonas hispanica,Alteromonas hispanica
Streptococcus hillyeri,Streptococcus hillyeri
Oceanimonas pelagia,Oceanimonas pelagia
Paeniroseomonas aquatica,Belnapia aquatica
Microbulbifer rhizosphaerae,Microbulbifer rhizosphaerae
Glutamicibacter uratoxydans,Glutamicibacter uratoxydans
Geomonas propionica,Geomonas propionica
Sphaerisporangium melleum,Sphaerisporangium melleum
Psychrobacter aestuarii,Psychrobacter aestuarii
Stackebrandtia endophytica,Stackebrandtia endophytica
Amarobacillus elongatus,Amarobacillus elongatus
Scatavimonas sp.,Scatavimonas sp900540275
Pseudomonas nunensis,Pseudomonas_E nunensis
Aeolococcus gillhamiae,Aeolococcus gillhamiae
Paenibacillus hemerocallicola,Paenibacillus_AB hemerocallicola
Desulfuromonas acetoxidans,Desulfuromonas acetoxidans
Liquorilactobacillus vini,Liquorilactobacillus vini
Kurthia intestinigallinarum,Kurthia intestinigallinarum
Pistricoccus aurantiacus,Pistricoccus aurantiacus
Caminicella sporogenes,Caminicella sporogenes
Chryseobacterium echinoideorum,Chryseobacterium echinoideorum
Microbacterium cremeum,Microbacterium cremeum
Haloimpatiens sp.,Haloimpatiens sp041861885
Herpetosiphon giganteus,Herpetosiphon giganteus
Romboutsia faecis,Romboutsia_E faecis
Staphylococcus lutrae,Staphylococcus lutrae
Cellulomonas algicola,Cellulomonas algicola
Variovorax humicola,Variovorax humicola
bacterium HR36,HRBIN36 sp002898995
Enterococcus dongliensis,Enterococcus_A dongliensis
Paenalcaligenes faecalis,Paenalcaligenes faecalis
Marinomonas flavescens,Marinomonas flavescens
Anaerobiospirillum pullicola,Anaerobiospirillum pullicola
Acidithiobacillus sulfuriphilus,Acidithiobacillus_B sulfuriphilus
Apibacter raozihei,Apibacter raozihei
Serratia montpellierensis,Serratia montpellierensis
Haoranjiania flava,Haoranjiania flava
Arenimonas caeni,Arenimonas caeni
Paraburkholderia guartelaensis,Paraburkholderia guartelaensis
Saccharibacillus qingshengii,Saccharibacillus qingshengii
Deinococcus aquiradiocola,Deinococcus aquiradiocola
Clostridium lacusfryxellense,Clostridium_AD lacusfryxellense
Geothermincola secundus,Geothermincola_A secundus
Deinococcus proteolyticus,Deinococcus proteolyticus
Azorhizobium caulinodans,Azorhizobium caulinodans
Nocardioides jejuensis,Nocardioides jejuensis
Sessilibacter corallicola,Sessilibacter corallicola
Planomonospora alba,Planomonospora alba
Saccharopolyspora ipomoeae,Saccharopolyspora ipomoeae
Shimwellia blattae,Shimwellia blattae
Ponticoccus alexandrii,Ponticoccus alexandrii
Pseudomonas quercus,Pseudomonas_E quercus
uncultured Thermanaerothrix,Thermanaerothrix sp938028735
Dolichospermum heterosporum,Dolichospermum heterosporum
Electrothrix communis,Electrothrix communis
Enterococcus caccae,Enterococcus caccae
Pontibacter cellulosilyticus,Pontibacter cellulosilyticus
Aquicoccus porphyridii,Aquicoccus porphyridii
Streptococcus downii,Streptococcus downii
Halomonas aestuarii,Halomonas aestuarii
Paenibacillus agilis,Paenibacillus_B agilis
Vibrio palustris,Vibrio palustris
Actinomadura rubrisoli,Spirillospora rubrisoli
Aerococcus suis,Aerococcus suis
Fervidibacter sacchari,Fervidibacter sacchari
Pantoea conspicua,Pantoea conspicua
Photobacterium marinum,Photobacterium marinum
Roseivivax isoporae,Roseivivax isoporae
Avidesulfovibrio excrementigallinarum,Avidesulfovibrio excrementigallinarum
Bradyrhizobium retamae,Bradyrhizobium retamae
Segatella mututuai,Prevotella mututuai
uncultured Thalassobacter,CAWUJT01 sp963922715
Kineococcus radiotolerans,Kineococcus radiotolerans
Labilibacter marinus,Saccharicrinis marinus
Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis,Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis
Competibacter phosphatis,Competibacter phosphatis
Catenisphaera adipataccumulans,Catenisphaera adipataccumulans
Xanthomonas bromi,Xanthomonas bromi
Arthrobacter silviterrae,Specibacter silviterrae
Phytohabitans rumicis,Phytohabitans rumicis
Viridibacillus arenosi,Viridibacillus arenosi
Croceitalea vernalis,Croceitalea vernalis
Bifidobacterium vespertilionis,Bifidobacterium vespertilionis
Pullilachnospira gallistercoris,Pullilachnospira_A gallistercoris
