order,class,phylum,gene,n,n_res,f_res
Fusobacteriales,Fusobacteriia,Fusobacteriota,rrs,33,8,0.24242424242424243
Gaiellales,Thermoleophilia,Actinomycetota,rrs,1,0,0
Geminicoccales,Alphaproteobacteria,Pseudomonadota,rrs,4,0,0
Gemmatales,Planctomycetia,Planctomycetota,rrs,7,2,0.2857142857142857
Gemmatimonadales,Gemmatimonadetes,Gemmatimonadota,rrs,6,1,0.16666666666666666
Geobacterales,Desulfuromonadia,Desulfobacterota,rrs,32,5,0.15625
Gloeobacterales,Cyanobacteriia,Cyanobacteriota,rrs,4,3,0.75
Granulosicoccales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Halanaerobiales,Halanaerobiia,Bacillota,rrs,2,0,0
Haliangiales,Polyangia,Myxococcota,rrs,1,1,1
Halobacteroidales,Halanaerobiia,Bacillota,rrs,6,0,0
Haloplasmatales,Bacilli,Bacillota,rrs,1,0,0
Halothiobacillales,Gammaproteobacteria,Pseudomonadota,rrs,2,2,1
Heliobacteriales,Desulfitobacteriia,Bacillota,rrs,2,1,0.5
Holophagales,Holophagae,Acidobacteriota,rrs,3,3,1
Holosporales,Alphaproteobacteria,Pseudomonadota,rrs,3,2,0.6666666666666666
ICN-92133,Negativicutes,Bacillota,rrs,1,0,0
Ignavibacteriales,Ignavibacteria,Bacteroidota_A,rrs,4,0,0
Immundisolibacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Isosphaerales,Planctomycetia,Planctomycetota,rrs,9,9,1
Izemoplasmatales,Bacilli,Bacillota,rrs,1,0,0
JAAFJU01,Cyanobacteriia,Cyanobacteriota,rrs,1,0,0
JC444,Spirochaetia,Spirochaetota,rrs,1,0,0
Jiangellales,Actinomycetes,Actinomycetota,rrs,17,1,0.058823529411764705
Kiloniellales,Alphaproteobacteria,Pseudomonadota,rrs,12,2,0.16666666666666666
Kiritimatiellales,Kiritimatiellia,Verrucomicrobiota,rrs,4,2,0.5
Ktedonobacterales,Ktedonobacteria,Chloroflexota,rrs,9,6,0.6666666666666666
Kyrpidiales,Bacilli,Bacillota,rrs,2,2,1
Lachnospirales,Clostridia,Bacillota,rrs,105,29,0.2761904761904762
Lactobacillales,Bacilli,Bacillota,rrs,493,171,0.34685598377281945
Legionellales,Gammaproteobacteria,Pseudomonadota,rrs,52,11,0.21153846153846154
Lentisphaerales,Lentisphaeria,Verrucomicrobiota,rrs,3,0,0
Leptolyngbyales,Cyanobacteriia,Cyanobacteriota,rrs,6,0,0
Leptospirales,Leptospiria,Spirochaetota,rrs,73,1,0.0136986301369863
Limisphaerales,Verrucomicrobiia,Verrucomicrobiota,rrs,1,0,0
Longimicrobiales,Gemmatimonadetes,Gemmatimonadota,rrs,1,1,1
Lutisporales,Clostridia,Bacillota,rrs,1,0,0
MOL361,Bacilli,Bacillota,rrs,2,0,0
Magnetococcales,Magnetococcia,Pseudomonadota,rrs,1,1,1
Mahellales,Clostridia,Bacillota,rrs,1,0,0
Mariprofundales,Zetaproteobacteria,Pseudomonadota,rrs,5,2,0.4
Mesoaciditogales,Thermotogae,Thermotogota,rrs,1,1,1
Methylacidiphilales,Verrucomicrobiia,Verrucomicrobiota,rrs,2,0,0
Methylococcales,Gammaproteobacteria,Pseudomonadota,rrs,37,5,0.13513513513513514
Miltoncostaeales,Thermoleophilia,Actinomycetota,rrs,1,1,1
Minisyncoccales,Minisyncoccia,Patescibacteriota,rrs,1,0,0
Minwuiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Monoglobales,Clostridia,Bacillota,rrs,1,0,0
Motilibacterales,Actinomycetes,Actinomycetota,rrs,2,0,0
Mycobacteriales,Actinomycetes,Actinomycetota,rrs,834,224,0.2685851318944844
Mycoplasmatales,Bacilli,Bacillota,rrs,198,72,0.36363636363636365
Myxococcales,Myxococcia,Myxococcota,rrs,33,8,0.24242424242424243
Nannocystales,Polyangia,Myxococcota,rrs,5,0,0
Natranaerobiales,Natranaerobiia,Bacillota,rrs,1,0,0
Nautiliales,Campylobacteria,Campylobacterota,rrs,3,1,0.3333333333333333
Neosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs,1,0,0
Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs,21,5,0.23809523809523808
Nitriliruptorales,Nitriliruptoria,Actinomycetota,rrs,2,0,0
Nitrococcales,Gammaproteobacteria,Pseudomonadota,rrs,12,4,0.3333333333333333
Nitrosococcales,Gammaproteobacteria,Pseudomonadota,rrs,11,2,0.18181818181818182
Nitrospinales,Nitrospinia,Nitrospinota,rrs,2,2,1
Oceanibaculales,Alphaproteobacteria,Pseudomonadota,rrs,3,0,0
Oligoflexales,Oligoflexia,Bdellovibrionota_B,rrs,2,0,0
Oligosphaerales,Lentisphaeria,Verrucomicrobiota,rrs,1,0,0
Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs,23,5,0.21739130434782608
Oscillospirales,Clostridia,Bacillota,rrs,43,11,0.2558139534883721
PCC-6307,Cyanobacteriia,Cyanobacteriota,rrs,5,1,0.2
Paenibacillales,Bacilli,Bacillota,rrs,169,73,0.4319526627218935
Parvibaculales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Peptococcales,Peptococcia,Bacillota,rrs,1,0,0
Peptostreptococcales,Clostridia,Bacillota,rrs,69,44,0.6376811594202898
Petrotogales,Thermotogae,Thermotogota,rrs,9,5,0.5555555555555556
Phormidesmidales,Cyanobacteriia,Cyanobacteriota,rrs,2,0,0
Phycisphaerales,Phycisphaerae,Planctomycetota,rrs,3,0,0
Pirellulales,Planctomycetia,Planctomycetota,rrs,30,14,0.4666666666666667
Piscirickettsiales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Planctomycetales,Planctomycetia,Planctomycetota,rrs,23,7,0.30434782608695654
Polyangiales,Polyangia,Myxococcota,rrs,10,1,0.1
Propionibacteriales,Actinomycetes,Actinomycetota,rrs,205,54,0.2634146341463415
Propionisporales,Negativicutes,Bacillota,rrs,1,0,0
Proteinivoracales,Proteinivoracia,Bacillota,rrs,1,1,1
Pseudanabaenales,Cyanobacteriia,Cyanobacteriota,rrs,7,0,0
Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,687,72,0.10480349344978165
Pyrinomonadales,Blastocatellia,Acidobacteriota,rrs,1,0,0
Reyranellales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,646,20,0.030959752321981424
Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,481,8,0.016632016632016633
Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs,27,2,0.07407407407407407
Rhodothermales,Rhodothermia,Bacteroidota_A,rrs,12,7,0.5833333333333334
Rickettsiales,Alphaproteobacteria,Pseudomonadota,rrs,341,122,0.35777126099706746
Rubeoparvulales,Bacilli,Bacillota,rrs,1,0,0
Rubrobacterales,Rubrobacteria,Actinomycetota,rrs,2,0,0
SG130,Negativicutes,Bacillota,rrs,1,0,0
SK-Y3,Clostridia,Bacillota,rrs,1,1,1
Saccharofermentanales,Clostridia,Bacillota,rrs,2,0,0
Sedimentisphaerales,Phycisphaerae,Planctomycetota,rrs,3,0,0
Selenomonadales,Negativicutes,Bacillota,rrs,16,2,0.125
Sneathiellales,Alphaproteobacteria,Pseudomonadota,rrs,8,0,0
Solirubrobacterales,Thermoleophilia,Actinomycetota,rrs,15,5,0.3333333333333333
Sphaerochaetales,Spirochaetia,Spirochaetota,rrs,2,0,0
Sphingobacteriales,Bacteroidia,Bacteroidota,rrs,43,6,0.13953488372093023
Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,455,7,0.015384615384615385
Spirochaetales_E,Spirochaetia,Spirochaetota,rrs,1,0,0
Sporichthyales,Actinomycetes,Actinomycetota,rrs,2,0,0
Sporomusales,Negativicutes,Bacillota,rrs,13,5,0.38461538461538464
Staphylococcales,Bacilli,Bacillota,rrs,64,9,0.140625
Streptomycetales,Actinomycetes,Actinomycetota,rrs,342,71,0.20760233918128654
Streptosporangiales,Actinomycetes,Actinomycetota,rrs,167,57,0.3413173652694611
Sulfobacillales,Sulfobacillia,Bacillota,rrs,3,1,0.3333333333333333
Symbiobacteriales,Symbiobacteriia,Bacillota,rrs,1,0,0
Synechococcales,Cyanobacteriia,Cyanobacteriota,rrs,1,0,0
Synergistales,Synergistia,Synergistota,rrs,13,5,0.38461538461538464
Syntrophales,Syntrophia,Desulfobacterota,rrs,3,2,0.6666666666666666
Syntrophobacterales,Syntrophobacteria,Desulfobacterota,rrs,5,2,0.4
Syntrophomonadales,Syntrophomonadia,Bacillota,rrs,5,0,0
Syntrophorhabdales,Syntrophorhabdia,Desulfobacterota_G,rrs,1,0,0
Tepidibacillales,Bacilli,Bacillota,rrs,3,3,1
Tepidiformales,Dehalococcoidia,Chloroflexota,rrs,3,0,0
Tepidisphaerales,Phycisphaerae,Planctomycetota,rrs,1,1,1
Terriglobales,Terriglobia,Acidobacteriota,rrs,30,29,0.9666666666666667
Thalassobaculales,Alphaproteobacteria,Pseudomonadota,rrs,7,0,0
Thermacetogeniales,DSM-12270,Bacillota,rrs,1,0,0
Thermicanales,Bacilli,Bacillota,rrs,2,2,1
Thermincolales,Thermincolia,Bacillota,rrs,1,1,1
Thermoactinomycetales,Bacilli,Bacillota,rrs,25,7,0.28
Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rrs,12,6,0.5
Thermoanaerobaculales,Thermoanaerobaculia,Acidobacteriota,rrs,1,1,1
Thermodesulfobacteriales,Thermodesulfobacteria,Desulfobacterota,rrs,8,4,0.5
Thermodesulfobiales,Thermodesulfobiia,Thermodesulfobiota,rrs,2,1,0.5
