family,order,class,phylum,n,n_res,f_res
Perlucidibacaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Persicobacteraceae,Cytophagales,Cytophagia,Bacteroidota,4,0,0
Petrachlorosaceae,Synechococcales,Cyanophyceae,Cyanobacteriota,1,0,0
Petrotogaceae,Petrotogales,Thermotogae,Thermotogota,15,2,0.13333333333333333
Phaeocystidibacteraceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
Phototrophicaceae,Phototrophicales,Candidatus Thermofonsia,Chloroflexota,1,0,0
Phreatobacteraceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,4,0,0
Phycisphaeraceae,Phycisphaerales,Phycisphaerae,Planctomycetota,4,4,1
Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,132,0,0
Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,51,51,1
Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,35,0,0
Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,32,32,1
Pleioneaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,6,0,0
Pleomorphomonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,12,0,0
Polyangiaceae,Polyangiales,NA,Myxococcota,11,0,0
Pontiellaceae,Kiritimatiellales,Kiritimatiellia,Kiritimatiellota,3,0,0
Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidota,29,1,0.034482758620689655
Porticoccaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,2,0,0
Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,83,1,0.012048192771084338
Prochlorococcaceae,Synechococcales,Cyanophyceae,Cyanobacteriota,4,0,0
Prochlorotrichaceae,Prochlorotrichales,Cyanophyceae,Cyanobacteriota,1,0,0
Prolixibacteraceae,Marinilabiliales,Bacteroidia,Bacteroidota,25,0,0
Promicromonosporaceae,Micrococcales,Actinomycetes,Actinomycetota,44,0,0
Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,77,8,0.1038961038961039
Propylenellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Proteinivoraceae,Eubacteriales,Clostridia,Bacillota,5,0,0
Pseudanabaenaceae,Pseudanabaenales,Cyanophyceae,Cyanobacteriota,9,0,0
Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,60,1,0.016666666666666666
Pseudobacteriovoracaceae,Oligoflexales,Oligoflexia,Bdellovibrionota,1,0,0
Pseudobdellovibrionaceae,Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,5,0,0
Pseudohongiellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,443,0,0
Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,329,2,0.0060790273556231
Psittacicellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,3,0,0
Psychromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,12,0,0
Pumilibacteraceae,Eubacteriales,Clostridia,Bacillota,3,0,0
Puniceicoccaceae,Puniceicoccales,Opitutia,Verrucomicrobiota,1,0,0
Pyrinomonadaceae,Blastocatellales,Blastocatellia,Acidobacteriota,1,0,0
Raineyaceae,Cytophagales,Cytophagia,Bacteroidota,1,0,0
Rarobacteraceae,Micrococcales,Actinomycetes,Actinomycetota,2,0,0
Rectinemataceae,Spirochaetales,Spirochaetia,Spirochaetota,1,0,0
Reichenbachiellaceae,Cytophagales,Cytophagia,Bacteroidota,10,0,0
Reyranellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,4,0,0
Rhabdaerophilaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,216,4,0.018518518518518517
Rhodanobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,92,0,0
Rhodobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Rhodoblastaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,27,0,0
Rhodocytophagaceae,Cytophagales,Cytophagia,Bacteroidota,2,0,0
Rhodoligotrophaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,34,1,0.029411764705882353
Rhodothalassiaceae,Rhodothalassiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Rhodothermaceae,Rhodothermales,Rhodothermia,Rhodothermota,4,0,0
Rhodovibrionaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,12,0,0
Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,5,2,0.4
Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,22,0,0
Robiginitomaculaceae,Maricaulales,Alphaproteobacteria,Pseudomonadota,9,1,0.1111111111111111
Roseiarcaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Roseiflexaceae,Chloroflexales,Chloroflexia,Chloroflexota,1,0,0
Roseiterribacteraceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,1,0,0
Roseivirgaceae,Cytophagales,Cytophagia,Bacteroidota,7,0,0
Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,303,1,0.0033003300330033004
Roseomonadaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,51,0,0
Ruaniaceae,Micrococcales,Actinomycetes,Actinomycetota,11,0,0
Rubricoccaceae,Rhodothermales,Rhodothermia,Rhodothermota,3,0,0
Rubritaleaceae,Verrucomicrobiales,Verrucomicrobiia,Verrucomicrobiota,6,0,0
Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinomycetota,9,0,0
Saccharospirillaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,12,0,0
Saeziaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Salaquimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Salibacteraceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Salinarimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,4,0,0
Salinibacteraceae,Rhodothermales,Rhodothermia,Rhodothermota,4,0,0
Salinicoccaceae,Bacillales,Bacilli,Bacillota,4,2,0.5
Salinisphaeraceae,Salinisphaerales,Gammaproteobacteria,Pseudomonadota,8,0,0
Salinivirgaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Salisaetaceae,Rhodothermales,Rhodothermia,Rhodothermota,3,0,0
Salsipaludibacteraceae,Salsipaludibacterales,Nitriliruptoria,Actinomycetota,1,1,1
Sandaracinaceae,Polyangiales,NA,Myxococcota,1,0,0
Sanguibacteraceae,Micrococcales,Actinomycetes,Actinomycetota,9,0,0
Sanyastnellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,1,0,0
Saprospiraceae,Saprospirales,Saprospiria,Bacteroidota,4,0,0
Schleiferiaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
Scytonemataceae,Nostocales,Cyanophyceae,Cyanobacteriota,7,0,0
Sedimenticolaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,5,0,0
