family,order,class,phylum,gene,n,n_res,f_res
Methylophilaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs,18,0,0
Methylopilaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,11,0,0
Methylothermaceae,Methylococcales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Microbacteriaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs,301,214,0.7109634551495017
Micrococcaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs,148,21,0.14189189189189189
Microcoleaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs,2,1,0.5
Microcystaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs,11,2,0.18181818181818182
Micromonosporaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs,175,14,0.08
Microscillaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs,2,0,0
Microtrichaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rrs,1,1,1
Miltoncostaeaceae,Miltoncostaeales,Thermoleophilia,Actinomycetota,rrs,1,1,1
Minisyncoccaceae,Minisyncoccales,Minisyncoccia,Patescibacteriota,rrs,1,0,0
Minwuiaceae,Minwuiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Monoglobaceae,Monoglobales,Clostridia,Bacillota,rrs,1,0,0
Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,114,36,0.3157894736842105
Moritellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,4,1,0.25
Motilibacteraceae,Motilibacterales,Actinomycetes,Actinomycetota,rrs,2,0,0
Mucispirillaceae,Deferribacterales,Deferribacteres,Chrysiogenota,rrs,1,1,1
Muribaculaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,7,2,0.2857142857142857
Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs,390,122,0.3128205128205128
Mycoplasmataceae,Mycoplasmatales,Bacilli,Bacillota,rrs,124,55,0.4435483870967742
Mycoplasmoidaceae,Mycoplasmatales,Bacilli,Bacillota,rrs,13,1,0.07692307692307693
Myxococcaceae,Myxococcales,Myxococcia,Myxococcota,rrs,26,7,0.2692307692307692
NBRC-103111,Paenibacillales,Bacilli,Bacillota,rrs,2,0,0
Nakamurellaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs,9,6,0.6666666666666666
Nannocystaceae,Nannocystales,Polyangia,Myxococcota,rrs,5,0,0
Natranaerobiaceae,Natranaerobiales,Natranaerobiia,Bacillota,rrs,1,0,0
Natronincolaceae,Peptostreptococcales,Clostridia,Bacillota,rrs,6,3,0.5
Natronogracilivirgulaceae,Balneolales,Rhodothermia,Bacteroidota_A,rrs,1,0,0
Natronospirillaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,3,0,0
Nautiliaceae,Nautiliales,Campylobacteria,Campylobacterota,rrs,3,1,0.3333333333333333
Neiellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,5,0,0
Neisseriaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs,56,1,0.017857142857142856
Neosynechococcaceae,Neosynechococcales,Cyanobacteriia,Cyanobacteriota,rrs,1,0,0
Nevskiaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,rrs,13,3,0.23076923076923078
Nitratiruptoraceae,Campylobacterales,Campylobacteria,Campylobacterota,rrs,1,0,0
Nitriliruptoraceae,Nitriliruptorales,Nitriliruptoria,Actinomycetota,rrs,2,0,0
Nitrococcaceae,Nitrococcales,Gammaproteobacteria,Pseudomonadota,rrs,3,0,0
Nitrosococcaceae,Nitrosococcales,Gammaproteobacteria,Pseudomonadota,rrs,2,2,1
Nitrosomonadaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs,10,3,0.3
Nitrospinaceae,Nitrospinales,Nitrospinia,Nitrospinota,rrs,2,2,1
Nocardioidaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,140,43,0.30714285714285716
Nostocaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs,25,7,0.28
Novibacillaceae,Thermoactinomycetales,Bacilli,Bacillota,rrs,2,0,0
Oceanibaculaceae,Oceanibaculales,Alphaproteobacteria,Pseudomonadota,rrs,3,0,0
Oceanipulchritudinaceae,Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs,1,0,0
Oleiphilaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,11,0,0
Oligoflexaceae,Oligoflexales,Oligoflexia,Bdellovibrionota_B,rrs,2,0,0
Oligosphaeraceae,Oligosphaerales,Lentisphaeria,Verrucomicrobiota,rrs,1,0,0
Opitutaceae,Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs,12,0,0
Oscillatoriaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs,1,1,1
Oscillospiraceae,Oscillospirales,Clostridia,Bacillota,rrs,7,3,0.42857142857142855
Ostreibacteriaceae,Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Oxobacteraceae,Clostridiales,Clostridia,Bacillota,rrs,1,0,0
Paenibacillaceae,Paenibacillales,Bacilli,Bacillota,rrs,163,70,0.4294478527607362
Paludibacteraceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,1,0,0
Parvibaculaceae,Parvibaculales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Parvicellaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs,1,0,0
Parvularculaceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs,13,0,0
Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,82,8,0.0975609756097561
Pelotomaculaceae,Desulfotomaculales,Desulfotomaculia,Bacillota,rrs,2,2,1
Peptoniphilaceae,Tissierellales,Clostridia,Bacillota,rrs,47,27,0.574468085106383
Peptostreptococcaceae,Peptostreptococcales,Clostridia,Bacillota,rrs,31,24,0.7741935483870968
Petrotogaceae,Petrotogales,Thermotogae,Thermotogota,rrs,8,5,0.625
Phormidesmidaceae,Phormidesmidales,Cyanobacteriia,Cyanobacteriota,rrs,2,0,0
Phreatobacteraceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Phycisphaeraceae,Phycisphaerales,Phycisphaerae,Planctomycetota,rrs,3,0,0
Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,rrs,20,6,0.3
Piscirickettsiaceae,Piscirickettsiales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,rrs,23,7,0.30434782608695654
Planococcaceae,Bacillales_A,Bacilli,Bacillota,rrs,86,17,0.19767441860465115
Pleomorphomonadaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,5,0,0
Polyangiaceae,Polyangiales,Polyangia,Myxococcota,rrs,10,1,0.1
Pontiellaceae,Kiritimatiellales,Kiritimatiellia,Verrucomicrobiota,rrs,3,2,0.6666666666666666
Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,14,3,0.21428571428571427
Porticoccaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,1,1,1
Prolixibacteraceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,11,5,0.45454545454545453
Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,rrs,27,10,0.37037037037037035
Propionisporaceae,Propionisporales,Negativicutes,Bacillota,rrs,1,0,0
Proteiniboraceae,Tissierellales,Clostridia,Bacillota,rrs,1,0,0
Proteinivoraceae,Proteinivoracales,Proteinivoracia,Bacillota,rrs,1,1,1
Pseudanabaenaceae,Pseudanabaenales,Cyanobacteriia,Cyanobacteriota,rrs,7,0,0
Pseudohongiellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,3,0,0
Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs,365,14,0.038356164383561646
Pseudonocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,rrs,224,62,0.2767857142857143
Pseudopelobacteraceae,Geobacterales,Desulfuromonadia,Desulfobacterota,rrs,7,0,0
Pseudoxanthobacteraceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,1,1,1
Psittacicellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Psychromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,4,1,0.25
Pumilibacteraceae,Christensenellales,Clostridia,Bacillota,rrs,2,2,1
Puniceicoccaceae,Opitutales,Verrucomicrobiia,Verrucomicrobiota,rrs,1,1,1
Pyrinomonadaceae,Pyrinomonadales,Blastocatellia,Acidobacteriota,rrs,1,0,0
Quadrisphaeraceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs,4,0,0
R1DC41,Bacillales_B,Bacilli,Bacillota,rrs,1,0,0
RAOX-1,Aneurinibacillales,Bacilli,Bacillota,rrs,1,0,0
Reyranellaceae,Reyranellales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,375,18,0.048
Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs,85,18,0.21176470588235294
Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,481,8,0.016632016632016633
Rhodobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Rhodocyclaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rrs,65,4,0.06153846153846154
Rhodomicrobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rrs,9,0,0
Rhodothalassiaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Rhodothermaceae,Rhodothermales,Rhodothermia,Bacteroidota_A,rrs,3,3,1
Rhodovibrionaceae,Kiloniellales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,rrs,39,4,0.10256410256410256
Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs,14,5,0.35714285714285715
Roseiflexaceae,Chloroflexales,Chloroflexia,Chloroflexota,rrs,1,0,0
Rubeoparvulaceae,Rubeoparvulales,Bacilli,Bacillota,rrs,1,0,0
Rubidibacteraceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rrs,1,0,0
Rubricoccaceae,Rhodothermales,Rhodothermia,Bacteroidota_A,rrs,2,0,0
Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinomycetota,rrs,2,0,0
Ruminococcaceae,Oscillospirales,Clostridia,Bacillota,rrs,24,5,0.20833333333333334
SCSIO-06110,Paenibacillales,Bacilli,Bacillota,rrs,2,2,1
