order,class,phylum,gene,n,n_res,f_res
Desulfobulbales,Desulfobulbia,Desulfobacterota,rrs_MG1655_2ndrun,21,0,0
Desulfomonilales,Desulfomonilia,Desulfobacterota,rrs_MG1655_2ndrun,1,0,0
Desulfotomaculales,Desulfotomaculia,Bacillota,rrs_MG1655_2ndrun,16,0,0
Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,80,0,0
Desulfurellales,Desulfurellia,Campylobacterota,rrs_MG1655_2ndrun,3,0,0
Desulfuribacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Desulfurobacteriales,Aquificia,Aquificota,rrs_MG1655_2ndrun,8,0,0
Desulfuromonadales,Desulfuromonadia,Desulfobacterota,rrs_MG1655_2ndrun,16,0,0
Dethiobacterales,Dethiobacteria,Bacillota,rrs_MG1655_2ndrun,1,0,0
Dictyoglomales,Dictyoglomia,Dictyoglomota,rrs_MG1655_2ndrun,2,0,0
Dissulfuribacterales,Dissulfuribacteria,Desulfobacterota,rrs_MG1655_2ndrun,3,0,0
Dongiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,7,0,0
Ectothiorhodospirales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,17,0,0
Elainellales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,3,0,0
Elsterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Elusimicrobiales,Elusimicrobia,Elusimicrobiota,rrs_MG1655_2ndrun,3,0,0
Endomicrobiales,Endomicrobiia,Elusimicrobiota,rrs_MG1655_2ndrun,1,0,0
Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1078,4,0.0037105751391465678
Enterobacterales_A,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,15,1,0.06666666666666667
Erysipelotrichales,Bacilli,Bacillota,rrs_MG1655_2ndrun,53,0,0
Eubacteriales,Clostridia,Bacillota,rrs_MG1655_2ndrun,30,0,0
Eutrophobiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Euzebyales,Nitriliruptoria,Actinomycetota,rrs_MG1655_2ndrun,5,0,0
Exiguobacteriales,Bacilli,Bacillota,rrs_MG1655_2ndrun,14,0,0
FACHB-46,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
FLKF01,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Ferrovibrionales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Fibrobacterales,Fibrobacteria,Fibrobacterota,rrs_MG1655_2ndrun,4,0,0
Fimbriimonadales,Fimbriimonadia,Armatimonadota,rrs_MG1655_2ndrun,1,0,0
Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1078,1,9.276437847866419e-4
Flavobacteriales_B,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
Francisellales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,26,0,0
Fusobacteriales,Fusobacteriia,Fusobacteriota,rrs_MG1655_2ndrun,49,0,0
Futianiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Gaiellales,Thermoleophilia,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Geminicoccales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Gemmatales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,10,0,0
Gemmatimonadales,Gemmatimonadetes,Gemmatimonadota,rrs_MG1655_2ndrun,6,0,0
Geobacterales,Desulfuromonadia,Desulfobacterota,rrs_MG1655_2ndrun,35,0,0
Gloeobacterales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,4,0,0
Gloeomargaritales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
Granulosicoccales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
HP12,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Halanaerobiales,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,8,0,0
Haliangiales,Polyangia,Myxococcota,rrs_MG1655_2ndrun,1,0,0
Halobacteroidales,Halanaerobiia,Bacillota,rrs_MG1655_2ndrun,8,0,0
Haloplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Halothiobacillales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Heliobacteriales,Desulfitobacteriia,Bacillota,rrs_MG1655_2ndrun,3,0,0
Holophagales,Holophagae,Acidobacteriota,rrs_MG1655_2ndrun,15,0,0
Holosporales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
ICN-92133,Negativicutes,Bacillota,rrs_MG1655_2ndrun,1,0,0
Ignavibacteriales,Ignavibacteria,Bacteroidota_A,rrs_MG1655_2ndrun,5,0,0
Immundisolibacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Isosphaerales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,12,0,0
Izemoplasmatales,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
JAAFJU01,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,1,0,0
JADQBR01,JADQBR01,Bacillota,rrs_MG1655_2ndrun,1,0,0
JC444,Spirochaetia,Spirochaetota,rrs_MG1655_2ndrun,1,0,0
Jiangellales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,18,0,0
Kiloniellales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,19,0,0
Kiritimatiellales,Kiritimatiellia,Verrucomicrobiota,rrs_MG1655_2ndrun,5,0,0
Koleobacterales,Thermosediminibacteria,Bacillota,rrs_MG1655_2ndrun,1,0,0
Ktedonobacterales,Ktedonobacteria,Chloroflexota,rrs_MG1655_2ndrun,13,1,0.07692307692307693
Kyrpidiales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Lachnospirales,Clostridia,Bacillota,rrs_MG1655_2ndrun,181,0,0
Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,725,0,0
Legionellales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,62,0,0
Lentisphaerales,Lentisphaeria,Verrucomicrobiota,rrs_MG1655_2ndrun,3,0,0
Leptolyngbyales,Cyanobacteriia,Cyanobacteriota,rrs_MG1655_2ndrun,9,0,0
Leptospirales,Leptospiria,Spirochaetota,rrs_MG1655_2ndrun,73,0,0
Leptospirillales,Leptospirillia,Nitrospirota_A,rrs_MG1655_2ndrun,2,0,0
Limisphaerales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,3,0,0
Limnochordales,Limnochordia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Longimicrobiales,Gemmatimonadetes,Gemmatimonadota,rrs_MG1655_2ndrun,1,0,0
Lutisporales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
MOL361,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Magnetococcales,Magnetococcia,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Mahellales,Clostridia,Bacillota,rrs_MG1655_2ndrun,1,0,0
Mariprofundales,Zetaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Mesoaciditogales,Thermotogae,Thermotogota,rrs_MG1655_2ndrun,2,0,0
Methylacidiphilales,Verrucomicrobiia,Verrucomicrobiota,rrs_MG1655_2ndrun,4,0,0
Methylococcales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,43,0,0
Micavibrionales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Micropepsales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Miltoncostaeales,Thermoleophilia,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
