genus,family,order,class,phylum,gene,n,n_res,f_res
Mangrovactinospora,Streptomycetaceae,Streptomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Mangrovibacillus,R1DC41,Bacillales_B,Bacilli,Bacillota,rrs_MG1655_2ndrun,1,0,0
Mangrovibacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Mangrovibacterium,Prolixibacteraceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,3,0,0
Mangrovibrevibacter,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mangrovicella,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Mangrovicoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Mangrovihabitans,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mangrovimicrobium,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mangrovimonas,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,6,0,0
Mangrovitalea,Oleiphilaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Mangrovivirga,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,1,0,0
Mannheimia,Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,9,0,0
Marasmitruncus,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Maribacter,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,29,0,0
Maribellus,NA,NA,NA,NA,rrs_MG1655_2ndrun,5,0,0
Maribrevibacterium,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Maricaulis,Maricaulaceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,5,0,0
Marichromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Maricurvus,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Maridesulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I,rrs_MG1655_2ndrun,3,0,0
Marihabitans,Dermatophilaceae,Actinomycetales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,1,0,0
Marilutibacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Mariluticola,Devosiaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Marimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Marinactinospora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs_MG1655_2ndrun,2,0,0
Marinagarivorans,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,2,0,0
Marinibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Marinibaculum,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Mariniblastus,Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetota,rrs_MG1655_2ndrun,1,0,0
Marinicauda,Maricaulaceae,Caulobacterales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,3,0,0
Marinicella,Marinicellaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,6,0,0
Marinicellulosiphila,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Marinifaba,Alteromonadaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Marinifilum,Marinifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,4,0,0
Mariniflexile,Flavobacteriaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,8,0,0
Marinihelvus,SZUA-36,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Marinilabilia,Marinilabiliaceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,2,0,0
Marinilactibacillus,Carnobacteriaceae,Lactobacillales,Bacilli,Bacillota,rrs_MG1655_2ndrun,3,0,0
Marinilongibacter,NA,NA,NA,NA,rrs_MG1655_2ndrun,1,0,0
Marinimicrobium,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,4,0,0
Marinimicrococcus,Geminicoccaceae,Geminicoccales,Alphaproteobacteria,Pseudomonadota,rrs_MG1655_2ndrun,1,0,0
Marininema,DSM-45169,Thermoactinomycetales,Bacilli,Bacillota,rrs_MG1655_2ndrun,2,0,0
Mariniphaga,Prolixibacteraceae,Bacteroidales,Bacteroidia,Bacteroidota,rrs_MG1655_2ndrun,2,0,0
