genus,family,order,class,phylum,gene,n,n_res,f_res
Planctomicrobium,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,rrs,1,1,1
Planctomonas,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,rrs,1,0,0
Planctopirus,Planctomycetaceae,Planctomycetales,Planctomycetia,Planctomycetota,rrs,3,3,1
Planifilum,Thermoactinomycetaceae,Bacillales,Bacilli,Bacillota,rrs,1,0,0
Planktosalinus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,1,1,1
Planktotalea,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,2,1,0.5
Planktothricoides,Oscillatoriaceae,Oscillatoriales,Cyanophyceae,Cyanobacteriota,rrs,1,0,0
Planktothrix,Microcoleaceae,Oscillatoriales,Cyanophyceae,Cyanobacteriota,rrs,1,1,1
Planobispora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs,3,0,0
Planococcus,Caryophanaceae,Bacillales,Bacilli,Bacillota,rrs,19,12,0.631578947368421
Planomicrobium,Caryophanaceae,Bacillales,Bacilli,Bacillota,rrs,2,0,0
Planomonospora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs,3,0,0
Planosporangium,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,rrs,4,0,0
Planotetraspora,Streptosporangiaceae,Streptosporangiales,Actinomycetes,Actinomycetota,rrs,5,0,0
Plantactinospora,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,rrs,5,0,0
Plantibacter,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,rrs,2,2,1
Plantimonas,NA,NA,NA,NA,rrs,1,0,0
Plasticicumulans,Candidatus Competibacteraceae,NA,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Plastorhodobacter,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Plastoroseomonas,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
Plebeiibacterium,NA,NA,NA,NA,rrs,2,0,0
Pleionea,Pleioneaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,rrs,2,1,0.5
Pleomorphomonas,Pleomorphomonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,1,0,0
Pleomorphovibrio,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidota,rrs,1,0,0
Plesiomonas,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Pluralibacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Pokkaliibacter,Balneatrichaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,rrs,1,0,0
Polaribacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,rrs,12,11,0.9166666666666666
Polaromonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,5,1,0.2
Pollutibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,rrs,1,0,0
Pollutimonas,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,rrs,4,2,0.5
Polyangium,Polyangiaceae,Polyangiales,NA,Myxococcota,rrs,4,0,0
Polycladidibacter,Stappiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,rrs,2,0,0
