family,order,class,phylum,gene,n,n_res,f_res
Sulfuriferulaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,4,0,0
Sulfurifustaceae,Acidiferrobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Sulfurimonadaceae,Campylobacterales,Campylobacteria,Campylobacterota,rpsL,14,0,0
Sulfurospirillaceae,Campylobacterales,Campylobacteria,Campylobacterota,rpsL,10,0,0
Sulfurovaceae,Campylobacterales,Campylobacteria,Campylobacterota,rpsL,7,0,0
Symbiobacteriaceae,Symbiobacteriales,Symbiobacteriia,Bacillota,rpsL,1,0,0
Synechococcaceae,Synechococcales,Cyanobacteriia,Cyanobacteriota,rpsL,2,0,0
Synergistaceae,Synergistales,Synergistia,Synergistota,rpsL,6,0,0
Syntrophaceae,Syntrophales,Syntrophia,Desulfobacterota,rpsL,2,0,0
Syntrophobacteraceae,Syntrophobacterales,Syntrophobacteria,Desulfobacterota,rpsL,3,0,0
Syntrophomonadaceae,Syntrophomonadales,Syntrophomonadia,Bacillota,rpsL,4,0,0
Syntrophorhabdaceae,Syntrophorhabdales,Syntrophorhabdia,Desulfobacterota_G,rpsL,1,0,0
Syntrophotaleaceae,Desulfuromonadales,Desulfuromonadia,Desulfobacterota,rpsL,3,0,0
Syntrophothermaceae,Syntrophomonadales,Syntrophomonadia,Bacillota,rpsL,1,0,0
TH1-2,Caulobacterales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,rpsL,6,0,0
Tenuifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,rpsL,2,0,0
Tepidamorphaceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,4,0,0
Tepidanaerobacteraceae,Thermosediminibacterales,Thermosediminibacteria,Bacillota,rpsL,3,0,0
Tepidisphaeraceae,Tepidisphaerales,Phycisphaerae,Planctomycetota,rpsL,1,1,1
Terasakiellaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,2,0,0
Thalassobaculaceae,Thalassobaculales,Alphaproteobacteria,Pseudomonadota,rpsL,7,0,0
Thalassospiraceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,14,0,0
Thermaceae,Deinococcales,Deinococci,Deinococcota,rpsL,2,0,0
Thermacetogeniaceae,Thermacetogeniales,DSM-12270,Bacillota,rpsL,2,0,0
Thermaerobacteraceae,Thermaerobacterales,Thermaerobacteria,Bacillota,rpsL,2,0,0
Thermatribacteraceae,Atribacterales,Atribacteria,Atribacterota,rpsL,1,0,0
Thermincolaceae,Thermincolales,Thermincolia,Bacillota,rpsL,1,0,0
Thermithiobacillaceae,Acidithiobacillales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Thermoanaerobacteraceae,Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rpsL,16,0,0
Thermoanaerobaculaceae,Thermoanaerobaculales,Thermoanaerobaculia,Acidobacteriota,rpsL,1,0,0
Thermodesulfatatoraceae,Thermodesulfobacteriales,Thermodesulfobacteria,Desulfobacterota,rpsL,3,0,0
Thermodesulfobacteriaceae,Thermodesulfobacteriales,Thermodesulfobacteria,Desulfobacterota,rpsL,8,6,0.75
Thermodesulfobiaceae,Thermodesulfobiales,Thermodesulfobiia,Thermodesulfobiota,rpsL,2,0,0
Thermodesulforhabdaceae,Syntrophobacterales,Syntrophobacteria,Desulfobacterota,rpsL,1,0,0
Thermodesulfovibrionaceae,Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,rpsL,6,0,0
Thermoleophilaceae,Solirubrobacterales,Thermoleophilia,Actinomycetota,rpsL,1,0,0
Thermonemataceae,Cytophagales,Bacteroidia,Bacteroidota,rpsL,2,0,0
Thermosediminibacteraceae,Thermosediminibacterales,Thermosediminibacteria,Bacillota,rpsL,4,0,0
Thermosinaceae,Sporomusales,Negativicutes,Bacillota,rpsL,1,0,0
Thermospiraceae,Brevinematales,Brevinematia,Spirochaetota,rpsL,1,0,0
Thermostichaceae,Thermostichales,Cyanobacteriia,Cyanobacteriota,rpsL,1,0,0
Thermosulfidibacteraceae,Thermosulfidibacterales,Thermosulfidibacteria,Thermosulfidibacterota,rpsL,1,0,0
Thermosynechococcaceae,Thermosynechococcales,Cyanobacteriia,Cyanobacteriota,rpsL,5,0,0
Thermotogaceae,Thermotogales,Thermotogae,Thermotogota,rpsL,2,0,0
Thermotomaculaceae,Thermotomaculales,Holophagae,Acidobacteriota,rpsL,1,0,0
Thermovirgaceae,Synergistales,Synergistia,Synergistota,rpsL,1,0,0
Thiobacillaceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,5,0,0
Thiobacteraceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Thiohalobacteraceae,Thiohalobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Thiohalomonadaceae,Thiohalomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Thiohalophilaceae,UBA6429,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Thiohalorhabdaceae,Thiohalorhabdales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Thiohalospiraceae,Thiohalospirales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Thiomicrospiraceae,Thiomicrospirales,Gammaproteobacteria,Pseudomonadota,rpsL,22,0,0
Thiotrichaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,rpsL,15,0,0
Tichowtungiaceae,Kiritimatiellales,Kiritimatiellia,Verrucomicrobiota,rpsL,1,0,0
Tistrellaceae,Tistrellales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Treponemataceae,Treponematales,Spirochaetia,Spirochaetota,rpsL,27,0,0
Turneriellaceae,Turneriellales,Leptospiria,Spirochaetota,rpsL,1,0,0
UBA11063,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
UBA2363,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
UBA2595,Thermincolales,Thermincolia,Bacillota,rpsL,1,0,0
UBA4877,Thermoanaerobacterales,Thermoanaerobacteria,Bacillota,rpsL,1,0,0
UBA6910,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
UBA8139,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rpsL,2,0,0
UBA8190,Acidimicrobiales,Acidimicrobiia,Actinomycetota,rpsL,1,0,0
UMGS1260,UMGS1260,Negativicutes,Bacillota,rpsL,1,0,0
UPPP01,Sporomusales,Negativicutes,Bacillota,rpsL,1,0,0
UXAT02,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,rpsL,1,0,0
Usitatibacteraceae,Burkholderiales,Gammaproteobacteria,Pseudomonadota,rpsL,2,0,0
Veillonellaceae,Veillonellales,Negativicutes,Bacillota,rpsL,22,0,0
Vibrionaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,rpsL,220,0,0
Vicinamibacteraceae,Vicinamibacterales,Vicinamibacteria,Acidobacteriota,rpsL,1,0,0
Vicingaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rpsL,2,0,0
Vulgatibacteraceae,Myxococcales,Myxococcia,Myxococcota,rpsL,1,0,0
Waddliaceae,Chlamydiales,Chlamydiia,Chlamydiota,rpsL,1,0,0
Weeksellaceae,Flavobacteriales,Bacteroidia,Bacteroidota,rpsL,32,0,0
Wenzhouxiangellaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,3,0,0
Woeseiaceae,Woeseiales,Gammaproteobacteria,Pseudomonadota,rpsL,1,0,0
Wohlfahrtiimonadaceae,Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,rpsL,8,0,0
Xanthobacteraceae,Rhizobiales,Alphaproteobacteria,Pseudomonadota,rpsL,142,1,0.007042253521126761
Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,233,1,0.004291845493562232
Xenococcaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteriota,rpsL,3,0,0
Xylanivirgaceae,Caldicoprobacterales,Clostridia,Bacillota,rpsL,1,1,1
ZC4RG38,Symbiobacteriales,Symbiobacteriia,Bacillota,rpsL,1,0,0
Zavarziniaceae,Zavarziniales,Alphaproteobacteria,Pseudomonadota,rpsL,3,0,0
Zhaonellaceae,DUOV01,DUOV01,Bacillota,rpsL,1,0,0
Zooshikellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,rpsL,5,0,0
NA,NA,NA,NA,rpsL,1418,65,0.045839210155148094
