genus,family,order,class,phylum,n,n_res,f_res
Cutibacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,7,0,0
Cyanobacterium,Geminocystaceae,Chroococcales,Cyanophyceae,Cyanobacteriota,1,0,0
Cyanobium,Prochlorococcaceae,Synechococcales,Cyanophyceae,Cyanobacteriota,2,0,0
Cyclobacterium,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidota,9,0,0
Cycloclasticus,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Cyclonatronum,Cyclonatronaceae,Balneolales,Balneolia,Balneolota,1,0,0
Cylindrospermopsis,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteriota,2,0,0
Cylindrospermum,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Cypionkella,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,3,0,0
Cysteiniphilum,Fastidiosibacteraceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,3,0,0
Cystobacter,Archangiaceae,Myxococcales,Myxococcia,Myxococcota,2,0,0
Dactylococcopsis,Cymatolegaceae,Nodosilineales,Cyanophyceae,Cyanobacteriota,1,0,0
Dactylosporangium,Micromonosporaceae,Micromonosporales,Actinomycetes,Actinomycetota,11,0,0
Daeguia,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Dakarella,Sutterellaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Dankookia,Roseomonadaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Danxiaibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,1,0,0
Dasania,Spongiibacteraceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,2,0,0
Dechloromonas,Azonexaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,5,0,0
Deefgea,Chitinibacteraceae,Neisseriales,Betaproteobacteria,Pseudomonadota,5,0,0
Deferribacter,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacterota,2,0,0
Deferrisoma,Deferrisomataceae,Deferrisomatales,Deferrisomatia,Thermodesulfobacteriota,1,0,0
Deferrivibrio,Deferrivibrionaceae,Deferribacterales,Deferribacteres,Deferribacterota,1,0,0
Defluviicoccus,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,1,0,0
Defluviimonas,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,5,0,0
Dehalobacterium,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcota,16,2,0.125
Delftia,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,4,0,0
Demequina,Demequinaceae,Micrococcales,Actinomycetes,Actinomycetota,26,0,0
Demetria,Dermacoccaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Deminuibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,1,0,0
Dendronalium,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Dendrosporobacter,Sporomusaceae,Selenomonadales,Negativicutes,Bacillota,1,0,0
Denitratimonas,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Denitratisoma,Sterolibacteriaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,1,0,0
Denitrificimonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Denitrobacterium,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,1,0,0
Denitrobaculum,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,1,0,0
Denitromonas,Zoogloeaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,3,0,0
Denitrovibrio,Geovibrionaceae,Deferribacterales,Deferribacteres,Deferribacterota,1,0,0
Dentiradicibacter,Rhodocyclaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,1,0,0
Dermabacter,Dermabacteraceae,Micrococcales,Actinomycetes,Actinomycetota,3,0,0
Dermacoccus,Dermacoccaceae,Micrococcales,Actinomycetes,Actinomycetota,4,0,0
Dermatobacter,Iamiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Dermatophilus,Dermatophilaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Derxia,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,2,0,0
Desertibaculum,Sneathiellaceae,Sneathiellales,Alphaproteobacteria,Pseudomonadota,1,0,0
Desertihabitans,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,2,0,0
Desertimonas,Ilumatobacteraceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,1,1
Desmonostoc,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Desnuesiella,Clostridiaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfacinum,Syntrophobacteraceae,Syntrophobacterales,Syntrophobacteria,Thermodesulfobacteriota,2,0,0
Desulfallas,Desulfallaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfamplus,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfarculus,Desulfarculaceae,Desulfarculales,Desulfarculia,Thermodesulfobacteriota,1,0,0
Desulfatibacillum,Desulfatibacillaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,2,0,0
Desulfatiglans,Desulfatiglandaceae,Desulfatiglandales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfatirhabdium,Desulfatirhabdiaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfatitalea,Desulfosarcinaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,2,0,0
Desulfitibacter,Desulfitibacteraceae,Moorellales,Clostridia,Bacillota,1,0,0
Desulfobacca,Desulfobaccaceae,Desulfobaccales,Desulfobaccia,Thermodesulfobacteriota,1,0,0
Desulfobacter,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,5,0,0
Desulfobacula,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,2,0,0
Desulfobaculum,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,2,0,0
Desulfobotulus,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,3,0,0
Desulfobulbus,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,6,1,0.16666666666666666
Desulfocapsa,Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Desulfocicer,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfococcus,Desulfococcaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfocucumis,Desulfocucumaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfocurvibacter,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfocurvus,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfofalx,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfofarcimen,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfoferrobacter,Syntrophobacteraceae,Syntrophobacterales,Syntrophobacteria,Thermodesulfobacteriota,1,0,0
Desulfoferula,Desulfarculaceae,Desulfarculales,Desulfarculia,Thermodesulfobacteriota,1,0,0
Desulfofundulus,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,7,0,0
Desulfofustis,Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,2,0,0
Desulfoglaeba,Syntrophobacteraceae,Syntrophobacterales,Syntrophobacteria,Thermodesulfobacteriota,1,0,0
Desulfogranum,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,3,0,0
Desulfohalobium,Desulfohalobiaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfohalovibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfolithobacter,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Desulfolucanica,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfoluna,Desulfolunaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,3,0,0
Desulfolutivibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,2,0,0
Desulfomarina,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Desulfomicrobium,Desulfomicrobiaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,6,0,0
Desulfomonile,Desulfomonilaceae,Desulfomonilales,Desulfomonilia,Thermodesulfobacteriota,1,0,0
Desulfonatronospira,Desulfonatronovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfonatronovibrio,Desulfonatronovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,2,0,0
Desulfonatronum,Desulfonatronaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,4,0,0
Desulfonauticus,Desulfonauticaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfonema,Desulfococcaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,3,0,0
Desulfonispora,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfopila,Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,2,0,0
Desulfoplanes,Desulfoplanaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfoprunum,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Desulforadius,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulforamulus,Peptococcaceae,Eubacteriales,Clostridia,Bacillota,8,0,0
Desulforapulum,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulforegula,Desulforegulaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulforhabdus,Syntrophobacteraceae,Syntrophobacterales,Syntrophobacteria,Thermodesulfobacteriota,1,0,0
Desulforhopalus,Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,2,0,0
Desulfosalsimonas,Desulfosalsimonadaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfosarcina,Desulfosarcinaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,5,0,0
Desulfoscipio,Desulfallaceae,Eubacteriales,Clostridia,Bacillota,2,0,0
Desulfosediminicola,Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,2,0,0
Desulfosoma,Syntrophobacteraceae,Syntrophobacterales,Syntrophobacteria,Thermodesulfobacteriota,1,0,0
Desulfospira,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfosudis,Desulfosudaceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,1,0,0
Desulfotalea,Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Desulfotignum,Desulfobacteraceae,Desulfobacterales,Desulfobacteria,Thermodesulfobacteriota,2,0,0
Desulfotomaculum,Desulfotomaculaceae,Eubacteriales,Clostridia,Bacillota,2,0,0
Desulfotruncus,Desulfallaceae,Eubacteriales,Clostridia,Bacillota,2,0,0
Desulfovermiculus,Desulfohalobiaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,17,0,0
Desulfovirgula,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Bacillota,1,0,0
Desulfovulcanus,Desulfonauticaceae,Desulfovibrionales,Desulfovibrionia,Thermodesulfobacteriota,1,0,0
Desulfurispira,Chrysiogenaceae,Chrysiogenales,Chrysiogenia,Chrysiogenota,1,0,0
Desulfurispirillum,Chrysiogenaceae,Chrysiogenales,Chrysiogenia,Chrysiogenota,1,0,0
Desulfurispora,Desulfurisporaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Desulfurivibrio,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Thermodesulfobacteriota,1,0,0
Desulfurobacterium,Desulfurobacteriaceae,Desulfurobacteriales,Aquificia,Aquificota,4,0,0
Desulfuromonas,Desulfuromonadaceae,Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,4,0,0
Desulfuromusa,Geopsychrobacteraceae,Desulfuromonadales,Desulfuromonadia,Thermodesulfobacteriota,1,0,0
Dethiobacter,Dethiobacteraceae,Dethiobacterales,Dethiobacteria,Bacillota,1,0,0
Dethiosulfatarculus,Desulfarculaceae,Desulfarculales,Desulfarculia,Thermodesulfobacteriota,1,0,0
Dethiosulfovibrio,Dethiosulfovibrionaceae,Synergistales,Synergistia,Synergistota,6,0,0
Devosia,Devosiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,40,40,1
Devriesea,Dermabacteraceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Dialister,Veillonellaceae,Veillonellales,Negativicutes,Bacillota,6,0,0
Diaminobutyricibacter,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Diaminobutyricimonas,Microbacteriaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Diaphorobacter,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,5,0,0
Dichelobacter,Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria,Pseudomonadota,1,0,0
Dichotomicrobium,Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Dickeya,Pectobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,12,0,0
Dictyoglomus,Dictyoglomaceae,Dictyoglomales,Dictyoglomia,Dictyoglomota,2,0,0
Dietzia,Dietziaceae,Mycobacteriales,Actinomycetes,Actinomycetota,13,0,0
Dinghuibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,1,0,0
Dinoroseobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Dissulfuribacter,Dissulfuribacteraceae,Dissulfuribacterales,Dissulfuribacteria,Thermodesulfobacteriota,1,0,0
Dissulfurimicrobium,NA,NA,Deltaproteobacteria,NA,1,0,0
Dissulfurirhabdus,Dissulfurirhabdaceae,NA,Deltaproteobacteria,NA,1,0,0
Dissulfurispira,Dissulfurispiraceae,Thermodesulfovibrionales,Thermodesulfovibrionia,Nitrospirota,1,0,0
Dokdonella,Rhodanobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,5,0,0
Dokdonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,5,0,0
Dolichospermum,Aphanizomenonaceae,Nostocales,Cyanophyceae,Cyanobacteriota,6,0,0
Donghicola,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,3,0,0
Dongia,Dongiaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,2,0,0
Dongshaea,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Draconibacterium,Prolixibacteraceae,Marinilabiliales,Bacteroidia,Bacteroidota,5,0,0
Dryocola,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,2,0,0
Duffyella,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Duganella,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,19,0,0
Dulcicalothrix,Calotrichaceae,Nostocales,Cyanophyceae,Cyanobacteriota,1,0,0
Duncaniella,Muribaculaceae,Bacteroidales,Bacteroidia,Bacteroidota,4,0,0
Duodenibacillus,Sutterellaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Dyella,Rhodanobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,34,0,0
Echinicola,Cyclobacteriaceae,Cytophagales,Cytophagia,Bacteroidota,10,0,0
Echinimonas,Echinimonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,1,0,0
Ectopseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,9,0,0
Ectorhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Ectothiorhodosinus,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Ectothiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,7,0,0
Edaphobacter,Acidobacteriaceae,Terriglobales,Terriglobia,Acidobacteriota,7,0,0
Edaphocola,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,2,0,0
Edaphovirga,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Edwardsiella,Hafniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,5,0,0
Eggerthella,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,5,0,0
Egibacter,Egibacteraceae,Egibacterales,Nitriliruptoria,Actinomycetota,1,0,0
Egicoccus,Egicoccaceae,Egicoccales,Nitriliruptoria,Actinomycetota,1,0,0
Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Pseudomonadota,6,1,0.16666666666666666
Eikenella,Neisseriaceae,Neisseriales,Betaproteobacteria,Pseudomonadota,5,0,0
Eilatimonas,Kordiimonadaceae,Kordiimonadales,Alphaproteobacteria,Pseudomonadota,1,0,0
Eisenibacter,Microscillaceae,Cytophagales,Cytophagia,Bacteroidota,1,0,0
Ekhidna,Reichenbachiellaceae,Cytophagales,Cytophagia,Bacteroidota,1,0,0
Eleftheria,NA,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Elioraea,Elioraeaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,4,0,0
Ellagibacter,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,1,0,0
Elongatibacter,Wenzhouxiangellaceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Elstera,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,2,0,0
Elusimicrobium,Elusimicrobiaceae,Elusimicrobiales,Elusimicrobia,Elusimicrobiota,1,0,0
Embleya,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,2,0,0
Emcibacter,Emcibacteraceae,Emcibacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Empedobacter,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,5,0,0
Endobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Endobacterium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Endomicrobium,Endomicrobiaceae,Endomicrobiales,Endomicrobiia,Elusimicrobiota,1,0,0
Endozoicomonas,Endozoicomonadaceae,Oceanospirillales,Gammaproteobacteria,Pseudomonadota,10,0,0
Enemella,Propionibacteriaceae,Propionibacteriales,Actinomycetes,Actinomycetota,2,0,0
Engelhardtia,NA,NA,Planctomycetia,Planctomycetota,1,1,1
Enhydrobacter,NA,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Enhygromyxa,Nannocystaceae,Nannocystales,NA,Myxococcota,1,0,0
Enorma,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,5,5,1
Ensifer,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,5,0,0
Enteractinococcus,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,3,0,0
Enterobacillus,Hafniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,29,0,0
Enterobacterales,NA,NA,NA,NA,1,0,0
Enterobacteriaceae,NA,NA,NA,NA,26,0,0
Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,23,0,0
Enteroscipio,Eggerthellaceae,Eggerthellales,Coriobacteriia,Actinomycetota,1,0,0
Enterovibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,8,0,0
Enterovirga,Methylobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,2,0,0
Entomobacter,Acetobacteraceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Entomohabitans,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Entomomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,2,0,0
Eoetvoesiella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Ephemeroptericola,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,1,0,0
Epibacterium,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Epidermidibacterium,Sporichthyaceae,Sporichthyales,Actinomycetes,Actinomycetota,1,0,0
Ereboglobus,Opitutaceae,Opitutales,Opitutia,Verrucomicrobiota,1,0,0
Eremococcus,Aerococcaceae,Lactobacillales,Bacilli,Bacillota,1,0,0
Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,20,1,0.05
Erythrobacter,Erythrobacteraceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,20,20,1
Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,7,0,0
Estrella,Criblamydiaceae,Parachlamydiales,Chlamydiia,Chlamydiota,1,0,0
Eubacterium,Eubacteriaceae,Eubacteriales,Clostridia,Bacillota,6,0,0
Eudoraea,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
Euhalothece,Halothecacae,Chroococcales,Cyanophyceae,Cyanobacteriota,1,0,0
Euryhalocaulis,Maricaulaceae,Maricaulales,Alphaproteobacteria,Pseudomonadota,1,0,0
Euzebya,Euzebyaceae,Euzebyales,Nitriliruptoria,Actinomycetota,3,0,0
Euzebyella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
Ewingella,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,1,0,0
Exercitatus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Pseudomonadota,1,0,0
Exilibacterium,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria,Pseudomonadota,1,0,0
Extensimonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,3,0,0
Facilibium,Fastidiosibacteraceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Facivitalis,Sphingomonadaceae,Sphingomonadales,Alphaproteobacteria,Pseudomonadota,1,1,1
Facklamia,Aerococcaceae,Lactobacillales,Bacilli,Bacillota,1,0,0
Faecalibacter,Weeksellaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,3,0,0
Falsarthrobacter,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,1,0,0
Falsigemmobacter,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Falsihalocynthiibacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Falsiporphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidota,1,0,0
Falsirhodobacter,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,4,0,0
Falsiroseomonas,Roseomonadaceae,Acetobacterales,Alphaproteobacteria,Pseudomonadota,10,0,0
Falsiruegeria,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,2,0,0
Falsochrobactrum,Brucellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,3,0,0
Fangia,Fastidiosibacteraceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Fannyhessea,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinomycetota,1,1,1
Fastidiosibacter,Fastidiosibacteraceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,1,0,0
Faucicola,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,1,0,0
Faunimonas,Afifellaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Ferirhizobium,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Ferranicluibacter,Rhizobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Ferribacterium,Azonexaceae,Rhodocyclales,Betaproteobacteria,Pseudomonadota,1,0,0
Ferrigenium,Gallionellaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,1,0,0
Ferrimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Ferrimonas,Ferrimonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,11,0,0
Ferriphaselus,Gallionellaceae,Nitrosomonadales,Betaproteobacteria,Pseudomonadota,1,0,0
Ferrithrix,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinomycetota,1,0,0
Ferrovibrio,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,2,0,0
Ferrovum,Ferrovaceae,Ferrovales,Betaproteobacteria,Pseudomonadota,1,0,0
Ferruginibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,4,0,0
Ferruginivarius,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Pseudomonadota,1,0,0
Fertoeibacter,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,1,0,0
Fervidicella,Clostridiaceae,Eubacteriales,Clostridia,Bacillota,1,0,0
Fervidicola,Thermosediminibacteraceae,Thermosediminibacterales,Clostridia,Bacillota,1,0,0
Fibrobacter,Fibrobacteraceae,Fibrobacterales,Fibrobacteria,Fibrobacterota,1,0,0
Fidelibacter,Fidelibacteraceae,Fidelibacterales,Fidelibacteria,Fidelibacterota,1,0,0
Filimonas,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidota,3,0,0
Filomicrobium,Hyphomicrobiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,1,0,0
Fimbriiglobus,Gemmataceae,Gemmatales,Planctomycetia,Planctomycetota,1,1,1
Fischerella,Hapalosiphonaceae,Nostocales,Cyanophyceae,Cyanobacteriota,2,0,0
Flagellatimonas,Nevskiaceae,Nevskiales,Gammaproteobacteria,Pseudomonadota,1,0,0
Flagellimonas,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,43,0,0
Flammeovirga,Flammeovirgaceae,Cytophagales,Cytophagia,Bacteroidota,6,0,0
Flavicella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidota,2,0,0
